piece,label,color,roughness,metalness,opacity,transparent,envMapIntensity,map,mapRepeat,normalMap,normalScale,clearcoat,clearcoatRoughness,flatShading
front,Frame front,,0.32,0.00,1.00,0,1.10,,1,,1.0,0.55,0.12,0
bridge,Bridge,#cfd2d6,0.22,0.96,1.00,0,1.35,,1,,1.0,0.00,0.00,0
temple,Temples,,0.32,0.00,1.00,0,1.10,,1,,1.0,0.55,0.12,0
wire,Temple wire,#cfd2d6,0.22,0.96,1.00,0,1.35,,1,,1.0,0.00,0.00,0
lens,Lenses,#dfe7ef,0.04,0.00,0.10,1,1.60,,1,,1.0,0.80,0.04,0
hinge,Hinges,#c3c6cb,0.24,0.95,1.00,0,1.30,,1,,1.0,0.00,0.00,0
core,Metal core,#b9bcc2,0.28,0.92,1.00,0,1.25,,1,,1.0,0.00,0.00,0
